,nt_dsc_estrut_fisic_ambiencia,nt_dsc_adap_defic_fisic_idosos,nt_dsc_equipamentos,nt_dsc_medicamentos,cnes
318,1,1,1,2,2742322
319,1,2,2,2,6050913
320,1,2,1,2,5924030
321,1,3,1,2,3774783
322,2,2,1,2,2251019
323,2,3,2,2,5974062
324,1,2,1,2,2712318
325,3,2,3,2,3463982
326,3,2,1,2,2703602
327,1,1,2,2,3567508
328,1,1,1,2,2414503
329,1,1,1,2,2011565
330,1,3,1,2,3491536
331,2,1,1,2,2703319
332,1,1,2,2,5486114
333,3,3,1,2,2007258
334,2,2,1,2,2328143
335,2,2,1,2,2471337
336,1,2,1,2,2006537
337,1,2,1,2,6724213
338,2,2,1,2,6760228
339,2,2,1,2,6374840
340,3,3,2,2,2103176
341,1,2,2,2,2600870
342,1,2,2,2,3306208
343,2,3,1,2,2100975
344,1,2,1,2,2259486
345,3,3,1,2,6869009
346,2,1,1,2,2213893
347,1,1,2,2,2204452
348,1,1,1,2,4004418
349,2,2,3,2,5275148
350,3,2,1,2,5282101
351,2,2,2,2,2775778
352,1,1,2,2,3039722
353,2,1,2,2,2562960
354,2,1,1,2,2791404
355,3,2,1,2,6364896
356,2,2,1,2,6427774
357,2,2,1,2,6542506
358,1,3,1,2,6650945
359,3,2,1,2,6623077
360,3,1,2,2,2663384
361,3,2,1,2,2344793
362,2,1,1,2,2637820
363,2,2,1,2,2684764
364,3,1,2,2,2559811
365,1,2,2,2,2251930
366,3,3,1,2,2361361
367,1,1,2,2,2288443
368,2,1,1,2,2346400
369,1,3,1,2,2795507
370,1,1,2,2,2514052
371,3,2,2,2,2699265
372,2,3,2,2,2017326
373,1,1,2,2,2512769
374,3,2,1,2,2722127
375,2,3,1,2,17647
376,2,1,1,2,2093103
377,2,3,1,2,2153262
378,1,3,2,2,2254875
379,2,1,1,2,2691000
380,1,1,1,2,2007312
381,2,2,1,2,2375184
382,1,2,1,2,5431417
383,1,2,1,2,2726580
384,2,1,1,2,2375303
385,2,2,1,2,2059371
386,2,3,3,2,17191
387,1,1,2,2,2627280
388,3,2,1,2,2608650
389,3,3,2,2,2537591
390,3,2,1,2,2091712
391,3,2,1,2,5974844
392,1,2,1,2,2572885
393,1,1,2,2,2696738
394,3,2,2,2,2296225
395,3,3,1,2,5367565
396,2,1,1,2,5220319
397,1,2,2,2,2210649
398,1,2,2,2,4029577
399,1,1,1,2,3849872
400,1,1,1,2,18562
401,1,2,1,2,3508722
402,2,1,1,2,2413779
403,3,2,1,2,2204614
404,1,1,2,2,2527766
405,2,3,3,2,2768615
406,3,2,1,2,6983855
407,3,2,2,2,2397404
408,3,1,1,2,17094
409,1,2,1,2,2689960
410,2,1,1,2,2235110
411,1,1,1,2,2352508
412,3,3,1,2,2226022
413,1,3,3,2,2258013
414,3,3,2,2,2378515
415,3,2,2,2,2211661
416,3,2,1,2,6339182
417,2,1,1,2,2254980
418,2,2,1,2,2791188
419,3,2,2,2,2753464
420,2,1,2,2,2041804
421,1,2,1,2,2559978
422,1,1,1,2,2084597
423,2,2,1,2,3058328
424,2,1,2,2,4029585
425,1,2,2,2,3035093
426,1,1,2,2,2321602
427,3,3,2,2,2646323
428,1,1,2,2,2210363
429,1,1,2,2,2255227
430,2,1,1,2,2606054
431,1,2,1,2,2341913
432,3,3,1,2,2201623
433,2,1,1,2,3902854
434,2,1,1,2,6228003
435,3,1,1,2,3047202
436,1,3,2,2,2714299
437,3,2,1,2,2054663
438,1,1,2,2,5039282
439,1,1,2,2,2557436
440,3,2,1,2,2747251
441,3,3,1,2,2787806
442,1,1,2,2,2697335
443,1,1,1,2,3020592
444,3,1,2,2,2676176
445,3,2,1,2,5024803
446,3,3,1,2,5091020
447,2,1,2,2,23221
448,3,3,3,2,2666065
449,3,1,1,2,2302012
450,2,1,1,2,2146835
451,2,1,2,2,2512440
452,2,2,1,2,2425378
453,1,1,3,2,2446286
454,3,3,2,2,23280
455,2,3,1,2,2610574
456,2,1,1,2,5869293
457,2,1,1,2,2258889
458,2,2,1,2,2657813
459,3,2,1,2,2206242
460,3,1,1,2,6012167
461,3,1,1,2,6085458
462,3,3,3,2,3823989
463,2,1,1,2,2651041
464,3,2,1,2,3456390
465,2,1,1,2,2464918
466,1,1,1,2,2697823
467,2,1,2,2,2367122
468,3,2,1,2,5689694
469,3,2,1,2,3380866
470,1,2,3,2,2350513
471,3,1,1,2,2713950
472,1,2,2,2,3467643
473,3,3,1,2,6225985
474,3,1,1,2,6322581
475,1,1,2,2,2666308
476,2,3,1,2,2165902
477,1,3,1,2,2010526
478,3,3,1,2,2000474
479,1,1,1,2,2531607
480,1,1,1,2,2803852
481,1,1,1,2,2607220
482,1,1,1,2,2312921
483,2,1,2,2,3014274
484,1,1,1,2,2322226
485,1,1,1,2,2272296
486,2,1,1,2,6683479
487,2,1,1,2,2672448
488,3,2,1,2,2758881
489,2,1,1,2,3109275
490,3,2,1,2,2476320
491,2,3,2,2,2449129
492,2,1,1,2,2356953
493,1,1,2,2,2731754
494,1,2,1,2,2387891
495,1,2,1,2,2386151
496,1,1,2,2,2600374
497,2,1,1,2,2763362
498,3,3,2,2,2702444
499,2,1,1,2,5701686
500,1,2,1,2,2788535
501,1,1,3,2,2425505
502,3,3,1,2,2147475
503,2,2,1,2,5637678
504,3,2,2,2,2824418
505,1,2,1,2,5435153
506,2,1,1,2,6502385
507,1,1,2,2,2616572
508,1,3,3,2,2477580
509,1,1,2,2,2680254
510,2,2,2,2,2745151
511,3,1,1,2,2742586
512,1,1,2,2,28649
513,1,2,3,2,2624745
514,3,1,1,2,2514168
515,1,1,1,2,2771969
516,2,1,2,2,2019485
517,1,1,1,2,2650924
518,2,1,1,2,2783150
519,2,2,1,2,2772493
520,3,1,2,2,2443570
521,1,2,1,2,2008823
522,2,2,1,2,2665662
523,3,2,1,2,2240262
524,2,1,1,2,2348950
525,1,2,1,2,2504529
526,2,2,1,2,2103974
527,2,1,1,2,5943817
528,1,1,2,2,2288524
529,3,3,1,2,5219175
530,1,1,1,2,2506203
531,3,3,1,2,2158205
532,2,2,1,2,5398800
533,1,2,1,2,2637022
534,2,1,1,2,3091678
535,2,2,1,2,2063247
536,2,1,1,2,2027054
537,2,1,1,2,2412187
538,3,3,1,2,2246236
539,3,1,1,2,2426773
540,1,1,2,2,3080846
541,1,3,2,2,23140
542,1,2,2,2,2526123
543,3,3,2,2,2512971
544,3,1,1,2,2707578
545,3,1,1,2,2348012
546,2,2,1,2,2198606
547,2,1,1,2,2713519
548,1,2,1,2,2607867
549,1,2,1,2,2418576
550,1,2,2,2,2825767
551,1,1,1,2,24473
552,2,2,1,2,3399648
553,3,2,1,2,2446626
554,3,2,1,2,2260204
555,1,1,2,2,2193914
556,2,1,1,2,5865611
557,1,3,1,2,2059584
558,3,3,1,2,2234491
559,3,2,1,2,2449242
560,1,1,2,2,2001012
561,1,1,2,2,2446146
562,2,1,1,2,2044897
563,2,1,1,2,2413582
564,3,1,1,2,5925606
565,2,2,1,2,2142821
566,2,2,1,2,23264
567,2,1,1,2,2749386
568,2,2,1,2,2790297
569,2,1,1,2,2637251
570,1,1,2,2,5063302
571,1,1,1,2,2512459
572,3,1,1,2,2147777
573,1,2,1,2,116
574,1,3,1,2,2472864
575,1,1,1,2,2014505
576,2,1,1,2,2767724
577,1,1,1,2,5166012
578,1,3,2,2,2767872
579,3,2,1,2,2282798
580,1,1,2,2,6187587
581,3,2,1,2,2086115
582,2,2,1,2,2695758
583,2,1,1,2,2409518
584,3,3,1,2,2024012
585,3,3,1,2,2786923
586,2,2,1,2,2476924
587,3,2,1,2,6344658
588,3,3,1,2,5619149
589,1,2,1,2,2362236
590,2,2,1,2,2526573
591,1,2,1,2,3970973
592,2,2,1,2,2049414
593,3,3,2,2,3957772
594,2,1,2,2,2236311
595,3,1,1,2,5010322
596,1,1,1,2,3493741
597,3,3,2,2,2576902
598,3,1,2,2,2694433
599,1,1,1,2,2567180
600,2,3,2,2,6215149
601,1,2,2,2,3232638
602,3,3,2,2,3452670
603,3,3,3,2,6785697
604,2,3,1,2,2773554
605,1,1,1,2,2659131
606,3,1,2,2,2362732
607,1,1,2,2,2792745
608,1,1,1,2,5469929
609,3,2,1,2,2422255
610,1,1,2,2,3784975
611,3,1,1,2,2246414
612,1,1,2,2,2038978
613,2,2,1,2,2032279
614,3,3,2,2,2242885
615,3,3,1,2,2700646
616,3,1,2,2,18104
617,2,1,1,2,2717972
618,1,1,1,2,2135795
619,1,2,2,2,2388375
620,1,2,1,2,6326749
621,1,3,2,2,2247879
622,1,2,2,2,2289032
623,1,3,2,2,2241269
624,2,2,1,2,2528703
625,1,2,1,2,2762382
626,3,3,1,2,6859887
627,3,2,2,2,2004437
628,3,3,1,2,5018269
629,1,2,1,2,5304857
630,2,1,1,2,5007518
631,2,2,1,2,6486304
632,2,1,1,2,6322646
633,2,3,3,2,6753140
634,2,1,1,2,6613365
635,3,3,3,2,6676812
636,3,2,3,2,2429
637,3,3,2,2,2418975
638,2,1,2,2,2719657
639,2,1,1,2,2613158
640,2,3,2,2,2468913
641,3,2,2,2,2638134
642,1,2,2,2,2040247
643,2,1,1,2,4030362
644,3,3,3,2,2706342
645,2,3,1,2,4049292
646,2,2,1,2,2773511
647,2,2,1,2,2378078
648,2,1,1,2,2315971
649,1,2,1,2,3005909
650,2,2,2,2,2524945
651,2,3,1,2,2000490
652,2,2,1,2,2592851
653,2,3,2,2,2208288
654,2,3,2,2,2724537
655,3,2,1,2,5444330
656,2,1,2,2,2523442
657,2,2,3,2,2425513
658,3,2,1,2,2532034
659,2,2,1,2,3752607
660,2,3,1,2,3742245
661,2,2,1,2,5678757
662,3,1,3,2,3248593
663,3,2,1,2,2310252
664,1,1,1,2,3008851
665,2,1,1,2,2494744
666,1,1,1,2,2478544
667,1,1,1,2,2015625
668,2,1,1,2,2354241
669,1,1,1,2,2011212
670,1,1,1,2,2011700
671,2,1,1,2,2300028
672,2,3,1,2,5731933
673,2,3,1,2,2474867
674,1,3,2,2,5879701
675,2,1,1,2,2635747
676,2,1,1,2,2687283
677,2,1,2,2,6028195
678,3,3,1,2,2796325
679,1,2,1,2,5653649
680,3,2,1,2,2025329
681,2,1,1,2,3018326
682,2,1,1,2,2315513
683,2,2,2,2,3700585
684,1,2,1,2,2068044
685,1,2,2,2,2692082
686,2,2,1,2,2152487
687,1,3,1,2,3314715
688,3,3,2,2,2211572
689,2,1,1,2,3893057
690,3,1,2,2,3910466
691,1,1,2,2,2726203
692,1,2,2,2,2268078
693,3,1,1,2,2424339
694,2,2,1,2,2242559
695,1,1,1,2,2230143
696,3,2,1,2,2794772
697,1,1,1,2,3451232
698,1,2,1,2,2601877
699,2,1,1,2,2494825
700,1,2,1,2,2424304
701,3,2,1,2,6382347
702,1,2,1,2,3054853
703,2,2,1,2,2044102
704,1,2,1,2,2123096
705,3,3,1,2,2553147
706,1,1,1,2,2014408
707,2,2,1,2,6915736
708,2,3,1,2,6883303
709,1,1,2,2,24171
710,2,3,3,2,2251310
711,2,1,2,2,3093
712,3,3,2,2,2061279
713,2,1,2,2,2524929
714,3,3,1,2,2238438
715,1,2,1,2,3742873
716,2,1,1,2,6817564
717,1,1,2,2,5294681
718,2,3,1,2,3976696
719,3,2,1,2,3982297
720,1,1,1,2,3384829
721,1,1,1,2,5420229
722,2,2,2,2,5983517
723,2,3,1,2,5119766
724,2,2,1,2,6670768
725,2,2,1,2,6765033
726,2,1,2,2,2367424
727,2,2,1,2,9091
728,2,1,1,2,6735215
729,2,1,2,2,2341182
730,2,3,1,2,3344266
731,2,1,1,2,2279371
732,2,3,1,2,2701006
733,1,2,1,2,2398338
734,3,3,1,2,2000830
735,2,2,1,2,2770091
736,1,1,1,2,2484412
737,2,3,1,2,2797313
738,1,1,3,2,11959
739,2,1,1,2,3049175
740,1,1,2,2,3023737
741,1,1,2,2,2060337
742,2,1,1,2,2592886
743,1,2,1,2,3193586
744,1,2,1,2,4040503
745,3,3,1,2,13943
746,3,1,1,2,2251345
747,2,1,1,2,2343010
748,1,2,1,2,2382083
749,1,1,2,2,2469545
750,2,1,1,2,2478617
751,1,1,1,2,4056949
752,1,2,1,2,2287854
753,2,1,1,2,2598477
754,1,2,1,2,2506076
755,2,1,1,2,2603772
756,2,1,1,2,2349043
757,1,1,2,2,3567524
758,1,3,2,2,3561194
759,1,1,2,2,3046656
760,1,3,1,2,2823071
761,3,2,1,2,9326
762,1,1,2,2,2028875
763,3,2,1,2,2073668
764,2,1,1,2,2253534
765,3,1,2,2,2032813
766,2,1,1,2,2482711
767,1,2,1,2,2009455
768,2,2,1,2,2226979
769,3,1,2,2,6651135
770,2,2,1,2,2330903
771,3,2,1,2,2380854
772,1,1,2,2,2326787
773,3,1,2,2,2583224
774,2,3,2,2,2606976
775,2,2,1,2,2529955
776,3,2,1,2,8613
777,2,1,1,2,2346052
778,1,2,1,2,2017571
779,2,1,1,2,2223449
780,3,2,1,2,2051923
781,1,2,1,2,2026961
782,3,3,2,2,2194171
783,1,1,2,2,2398273
784,3,2,1,2,2747677
785,1,3,1,2,5057280
786,1,2,1,2,3983706
787,1,2,1,2,5708400
788,3,1,1,2,2098199
789,1,1,2,2,2514400
790,1,1,1,2,2268248
791,2,2,1,2,2250896
792,3,2,1,2,7854
793,2,3,1,2,2476940
794,3,3,1,2,2583356
795,1,1,2,2,2480085
796,2,2,1,2,2170639
797,2,1,1,2,2381028
798,3,3,1,2,2275880
799,1,1,2,2,3046680
800,2,1,2,2,3538427
801,1,3,2,2,3498220
802,1,2,1,2,2495023
803,1,1,1,2,3451216
804,3,3,1,2,2462850
805,3,1,1,2,2159430
806,1,1,1,2,6139272
807,1,2,1,2,5497744
808,1,3,2,2,6478204
809,3,3,1,2,2389029
810,3,2,2,2,2512815
811,1,2,1,2,2714043
812,2,3,1,2,3022161
813,3,1,1,2,2794691
814,2,2,2,2,2147556
815,1,1,1,2,2778122
816,1,2,1,2,6926797
817,2,3,2,2,2665603
818,2,1,2,2,2249332
819,1,2,1,2,6907679
820,1,1,2,2,2196522
821,3,2,1,2,2246376
822,1,1,1,2,2343096
823,3,2,2,2,2421003
824,2,2,1,2,3999203
825,1,3,2,2,5531284
826,1,3,1,2,5144868
827,3,3,1,2,6480063
828,3,2,1,2,6509134
829,2,2,1,2,6459951
830,3,1,3,2,2339331
831,2,3,2,2,6752039
832,1,2,1,2,2722747
833,3,3,1,2,3344282
834,2,2,1,2,2700743
835,1,1,1,2,2284472
836,1,2,1,2,2498537
837,1,2,3,2,3545067
838,3,2,2,2,2750414
839,1,1,2,2,2585464
840,1,1,1,2,2283581
841,3,2,1,2,2229277
842,2,1,1,2,2453959
843,2,2,1,2,2787105
844,1,3,1,2,2366223
845,2,1,1,2,3126021
846,3,1,2,2,2511452
847,1,2,2,2,2591723
848,1,1,1,2,2015765
849,2,3,1,2,2052180
850,1,2,1,2,2787660
851,1,3,2,2,3269892
852,1,1,1,2,2742535
853,3,1,1,2,2144425
854,1,2,2,2,2483211
855,2,1,2,2,2564645
856,2,1,1,2,5253551
857,2,2,1,2,2220342
858,1,1,2,2,2600439
859,1,2,1,2,2420554
860,2,1,1,2,2637243
861,2,1,1,2,5334187
862,1,2,1,2,2525054
863,1,1,2,2,5371171
864,3,1,2,2,5509289
865,1,1,1,2,2405237
866,2,1,1,2,3559866
867,1,1,2,2,2481774
868,1,2,1,2,3750663
869,1,2,2,2,3806340
870,3,3,1,2,2382660
871,2,2,1,2,2004119
872,2,2,1,2,2264897
873,1,3,1,2,2049651
874,2,2,1,2,2609649
875,1,3,1,2,2242761
876,1,2,1,2,2022311
877,2,1,2,2,2570009
878,3,1,1,2,2485664
879,2,1,1,2,2707047
880,2,2,1,2,2714256
881,1,1,2,2,24538
882,2,2,1,2,23957
883,1,1,2,2,2260131
884,2,2,1,2,2381249
885,3,1,1,2,2034522
886,1,2,1,2,5159768
887,1,1,2,2,2348837
888,1,2,1,2,2437007
889,3,2,1,2,2464667
890,3,1,3,2,2003562
891,3,1,1,2,2706105
892,1,1,2,2,2194759
893,2,1,1,2,2081849
894,1,1,1,2,6375006
895,3,2,1,2,2251949
896,2,1,1,2,2311747
897,1,1,2,2,2745305
898,1,1,1,2,2738821
899,1,2,1,2,5130042
900,2,1,1,2,2465213
901,2,3,1,2,2011514
902,1,2,2,2,2226065
903,3,2,1,2,18201
904,2,1,1,2,5031028
905,3,3,1,2,5998271
906,2,1,2,2,4020731
907,1,1,1,2,2550512
908,2,2,1,2,3055310
909,3,3,2,2,2051222
910,1,1,2,2,23655
911,2,1,2,2,2111136
912,2,3,1,2,2622815
913,2,3,1,2,2062143
914,2,1,1,2,3144631
915,3,2,1,2,5008166
916,2,2,1,2,2766752
917,2,3,1,2,2389010
918,1,3,1,2,2318954
919,1,1,1,2,6311989
920,3,2,1,2,2459841
921,3,3,3,2,3531627
922,1,1,1,2,6233058
923,3,1,1,2,2415283
924,1,1,1,2,2310686
925,2,1,1,2,4050436
926,3,1,1,2,4044452
927,2,1,1,2,2305100
928,3,3,1,2,2419793
929,2,3,2,2,2142368
930,2,2,1,2,2413388
931,3,1,2,2,2361892
932,2,1,1,2,6811337
933,2,1,2,2,2246384
934,2,1,1,2,2664917
935,2,3,1,2,2794535
936,3,1,1,2,2636034
937,3,3,2,2,5030552
938,1,2,1,2,5510481
939,1,1,1,2,2757893
940,1,2,1,2,5602084
941,3,2,1,2,5289122
942,3,3,2,2,6531091
943,2,2,1,2,3056821
944,2,1,1,2,2153300
945,2,1,1,2,2084996
946,2,3,1,2,2689804
947,3,2,1,2,2115859
948,1,2,1,2,2778041
949,3,2,1,2,2795841
950,3,2,1,2,2063360
951,1,1,2,2,2731762
952,3,3,2,2,2073641
953,2,1,2,2,23558
954,1,2,2,2,2419041
955,2,1,1,2,2720604
956,1,1,2,2,2065061
957,1,2,1,2,2179091
958,1,1,1,2,2739585
959,1,1,2,2,2500337
960,3,2,1,2,2436094
961,3,2,2,2,2070227
962,2,3,1,2,2606763
963,3,3,1,2,2660873
964,2,2,1,2,2647028
965,3,2,1,2,2140322
966,1,2,2,2,2509709
967,2,1,1,2,2369710
968,2,1,2,2,2443686
969,1,2,1,2,2117487
970,3,1,1,2,2344904
971,1,2,1,2,5389933
972,3,3,1,2,6150934
973,1,1,1,2,5546583
974,2,1,1,2,2600455
975,2,2,1,2,5229995
976,3,1,1,2,2564122
977,2,3,1,2,6119492
978,2,1,1,2,2432234
979,2,3,1,2,2410397
980,2,2,1,2,2330822
981,1,1,2,2,3562441
982,1,2,1,2,3665410
983,1,1,1,2,10812
984,1,2,1,2,2305038
985,2,1,1,2,4029550
986,2,1,1,2,5680557
987,2,3,1,2,3748987
988,2,1,1,2,2040530
989,2,2,1,2,4021835
990,2,2,1,2,4022130
991,1,2,1,2,6990193
