,lat,long,cod_municipio,cnes,nom_estab,dsc_endereco,dsc_bairro,dsc_cidade,dsc_telefone,dsc_estrut_fisic_ambiencia,dsc_adap_defic_fisic_idosos,dsc_equipamentos,dsc_medicamentos,uf,cidade,no_fantasia,no_logradouro,no_bairro,cod_estado,nome_estado
10,-16.077,-47.925,520549,3005070,UBS FAMILIA SQ 11,SQ 11 QD 12 CASA,CENTRO,Cidade Ocidental,6191219593,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Cidade Ocidental,UBS FAMILIA SQ 11,SQ 10 QD 27 A E - S/N,CENTRO,52,Goiás
11,-16.077,-47.925,520549,5028167,CENTRO DE REABILITACAO E PREVENCAO CIDADE OCIDENTAL,SQ 15 QD 09,CENTRO,Cidade Ocidental,(61) 36256111,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Cidade Ocidental,CENTRO DE REABILITACAO E PREVENCAO CIDADE OCIDENTAL,SQ 15 QD 09 - S/N,CENTRO,52,Goiás
12,-15.762,-48.282,520025,4070550,POSTO PSF BARRAGEM II,QD 29 LOTE,JARDIM BARRAGEM II,Águas Lindas de Goiás,(61)6171279,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Águas Lindas de Goiás,POSTO PSF BARRAGEM II,QD 58 LOTE - S/N,JARDIM BARRAGEM IV,52,Goiás
13,-15.94,-48.255,521975,2440423,UNIDADE DE SAUDE PSF EQUIPE 04,QUADRA 05,VILA SAO LUIZ I,Santo Antônio do Descoberto,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Santo Antônio do Descoberto,UNIDADE DE SAUDE PSF EQUIPE 04,QUADRA 05 - S/N,VILA SAO LUIZ I,52,Goiás
14,-15.762,-48.282,520025,6806325,CS PARAISO,AREA ESPECIAL,JARDIM PARAISO,Águas Lindas de Goiás,Não se aplica,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Águas Lindas de Goiás,POSTO PSF JARDIM PARAISO,AREA ESPECIAL - S/N,JARDIM PARAISO,52,Goiás
15,-16.066,-47.979,522185,3895122,UNIDADE BASICA DE SAUDE N 06 VILA GUAIRA,RUA SEM NOME Q 0 LT 0 S N,VILA GUAIRA,Valparaíso de Goiás,(61) 3627-1351,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Valparaíso de Goiás,UNIDADE BASICA DE SAUDE N 06 VILA GUAIRA,RUA SEM NOME Q 0 LT 0 S N - S/N,VILA GUAIRA,52,Goiás
16,-16.496,-49.426,520880,2361647,UNIDADE DE SAUDE DA FAMILIA CENTRAL GOIANIRA,AV GOIANIRA,VILA KLEREA,Goianira,6235167032,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Goianira,UBS ONESTINA CORREA DE OLIVEIRA,AV GOIANIRA - S/N,VILA KLEREA,52,Goiás
17,-15.762,-48.282,520025,4070585,POSTO PSF BARRAGEM IV,QD 26 LOTE,JD DA BARRAGEM IV,Águas Lindas de Goiás,(61)99765938,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Águas Lindas de Goiás,POSTO PSF BARRAGEM IV,QD 58 LOTE - S/N,JD DA BARRAGEM IV,52,Goiás
18,-16.253,-47.95,521250,2340356,PSF MANIRATUBA,RUA AMADOR BRAZ,ZONA RURAL,Luziânia,6135094000,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Luziânia,PSF MANIRATUBA,RUA AMADOR BRAZ - S/N,ZONA RURAL,52,Goiás
19,-16.082,-48.507,520030,2437309,CENTRO DE SAUDE JK ALEXANIAGO,R 15 DE NOVEMBRO QD 100 LTS 14 E 23,CENTRO,Alexânia,(62)3361173,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Alexânia,CENTRO DE SAUDE JK ALEXANIA GO,R 15 DE NOVEMBRO QD 100 LTS 1 2 3 4 5 E 23 - S/N,SETOR 13 DE MAIO,52,Goiás
20,-16.077,-47.925,520549,2438488,UBS FAMILIA OCIDENTAL PARK,QD 12,OCIDENTAL PARK,Cidade Ocidental,6191214649,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Cidade Ocidental,UBS FAMILIA OCIDENTAL PARK,RUA 32 QD 27 A E 17 - S/N,OCIDENTAL PARK,52,Goiás
21,-16.077,-47.925,520549,2438488,UBS FAMILIA OCIDENTAL PARK,QD 12,OCIDENTAL PARK,Cidade Ocidental,6191214649,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Cidade Ocidental,UBS FAMILIA OCIDENTAL PARK,RUA 32 QD 27 A E 17 - S/N,OCIDENTAL PARK,52,Goiás
22,-15.931,-49.261,521990,2535319,CENTRO DE SAUDE AFONSO PEDROSO DE SOUSA,RUA LIZANDRO GOMES DE SOUZA,CENTRO,São Francisco de Goiás,6233057221,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,GO,São Francisco de Goiás,CENTRO DE SAUDE AFONSO PEDROSO DE SOUSA,RUA LIZANDRO GOMES DE SOUZA - 279,CENTRO,52,Goiás
23,-15.16,-48.284,521560,2535912,CENTRO DE SAUDE SAO BENTO,RUA 04 ESQ C A TRAVESSA 23,MONTE ALTO,Padre Bernardo,(61)5033952,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Padre Bernardo,PROGRAMA SAUDE DA FAMILIA MONTE ALTO,RUA 04 ESQ C A TRAVESSA 23 - 23,MONTE ALTO,52,Goiás
24,-15.16,-48.284,521560,2535904,PROGRAMA SAUDE DA FAMILIA DE TABOQUINHA,VALE DAS MACIEIRAS,TABOQUINHA,Padre Bernardo,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Padre Bernardo,PROGRAMA SAUDE DA FAMILIA DR SERGIO DOS SANTOS SILVA,AVENIDA BRASIL ESQ COM A AVENIDA BRASILIA AREA PUB - S/N,TABOQUINHA,52,Goiás
25,-16.066,-47.979,522185,3572609,UNIDADE DE SAUDE DA FAMILIA CEU AZUL II,QUADRA 92 LOTE 04,CEU AZUL II,Valparaíso de Goiás,(61)36271351,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Valparaíso de Goiás,UNIDADE DE SAUDE DA FAMILIA CEU AZUL II,QUADRA 92 LOTE 04 - 01,CEU AZUL II,52,Goiás
26,-12.431,-38.328,292520,2653486,UNIDADE BASICA DO PSF DA INOCOOP,RUA DALVA MONTE CRUZ,INOCOOP,Pojuca,(71)06452484,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,BA,Pojuca,UNIDADE BASICA DO PSF DA INOCOOP,RUA DALVA MONTE CRUZ - S/N,INOCOOP,29,Bahia
27,-14.204,-41.665,290460,2771969,USF VEREADOR SINVAL NEVES,POVOADO DE UMBURANAS,RURAL,Brumado,(77)4413008,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,BA,Brumado,USF VEREADOR SINVAL NEVES,POVOADO DE UMBURANAS - S/N,RURAL,29,Bahia
28,-16.584,-39.783,291180,2412306,POSTO DE SAUDE DE NOVA BARRA,PRACA DA MATRIZ,ZONA RURAL,Guaratinga,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Guaratinga,ESF BARRA NOVA,PRACA DA MATRIZ - S/N,ZONA RURAL,29,Bahia
29,-11.259,-40.942,293315,6795048,UNIDADE BASICA DE SAUDE DE SALINAS,POVOADO DE SALINAS,CENTRO,Várzea Nova,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Várzea Nova,UNIDADE BASICA DE SAUDE DE SALINAS,POVOADO DE SALINAS - S/N,CENTRO,29,Bahia
30,-10.954,-40.576,292140,2498537,CENTRO DE SAUDE DE MIRANGABA,AV JONAS CARVALHO,CENTRO,Mirangaba,(74)36302123,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,BA,Mirangaba,UNIDADE DE SAUDE DA FAMILIA SEDE I,AV JONAS CARVALHO - S/N,CENTRO,29,Bahia
31,-14.069,-42.475,290520,2556901,CENTRO DE SAUDE DE CAETITE,RUA RUI BARBOSA,CENTRO,Caetité,7734548063,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,BA,Caetité,CENTRO DE SAUDE DE CAETITE,RUA RUI BARBOSA - 299,CENTRO,29,Bahia
32,-16.584,-39.783,291180,2412292,UNIDADE PSF CAJUITA,PRACA ANTONIO COSTA,ZONA RURAL,Guaratinga,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Guaratinga,ESF CAJUITA,PRACA ANTONIO COSTA - S/N,ZONA RURAL,29,Bahia
33,-12.784,-38.404,293070,2532395,UNIDADE BASICA DE SAUDE PROF JOSE MARIA DE MAGALHAES NETTO,AVENIDA ELMO CEREJO FARIAS,CENTRO,Simões Filho,7132985003,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,BA,Simões Filho,UNIDADE BASICA DE SAUDE PROF JOSE MARIA DE MAGALHAES NETTO,AVENIDA RIVALDO GOMES GUIMARAES - S/N,CIA I,29,Bahia
34,-12.668,-38.551,290650,3517136,UNIDADE DE SAUDE DA FAMILIA PASSAGEM DOS TEIXEIRAS,RUA DA CACHOEIRA,PASS DOS TEIXEIRAS,Candeias,(71) 6013070,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Candeias,UNIDADE DE SAUDE DA FAMILIA PASSAGEM DOS TEIXEIRAS,TV MATRIZ - S/N,PASSAGEM DOS TEIXEIR,29,Bahia
35,-12.613,-38.297,291005,2772000,UNIDADE MEDICA BIRIBEIRA,DISTRITO DE BIRIBEIRA,BIRIBEIRA,Dias d'Ávila,(71)6253005,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Dias d'Ávila,USF BIRIBEIRA,DISTRITO DE BIRIBEIRA - S/N,BIRIBEIRA,29,Bahia
36,-11.304,-41.856,291460,5251796,UBSF CENTRO I ENIO ROSENDO PINTO,2 TRAVESSA NOEL NUTELES,CENTRO,Irecê,3641-1967,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,BA,Irecê,UBSF CENTRO I ENIO ROSENDO PINTO,RUA CLAUDIO FERREIRA BORGES - S/N,CENTRO,29,Bahia
37,-9.414,-40.503,291840,2770873,USF CSU I,ROD LOMANTO JUNIOR,CASTELO BRANCO,Juazeiro,(74)6112766,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Juazeiro,USF CSU I,RUA PIO XI - S/N,ALTO DO ALENCAR,29,Bahia
38,-16.584,-39.783,291180,2412330,POSTO DE SAUDE DE BURANHEM,PRACA HELIO CORDEIRO NUNES,ZONA RURAL,Guaratinga,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Guaratinga,ESF BURANHEM,PRACA HELIO CORDEIRO NUNES - 13,ZONA RURAL,29,Bahia
39,-11.511,-38.15,290960,3056643,UNIDADE DE SAUDE DA FAMILIA DE BARREIRAS,POV BARREIRAS,ZONA RURAL,Crisópolis,75 34432182 RAMAL 30,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Crisópolis,USF AUGUSTO ALVES DA COSTA,POV BARREIRAS - S/N,ZONA RURAL,29,Bahia
40,-11.796,-37.945,291060,3986969,CENTRO DE SAUDE DE ESPLANADA,RUA DR ANTONIO GOMES DE OLIVEIRA,CENTRO,Esplanada,075-34271360,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,BA,Esplanada,CENTRO DE ESPECIALIDADES DESAUDE DR ORLANDO JOSE MOURA PINTO,RUA VIRGILIO RIBEIRO DE ARAUJO - 157,CENTRO,29,Bahia
41,-13.6095,-42.9394,292640,4030524,USF DO POVOADO DO CAMBAITO,POVOADO DO CAMBAITO,ZONA RURAL,Riacho de Santana,Não se aplica,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,BA,Riacho de Santana,USF DO POVOADO DO CAMBAITO,POVOADO DO CAMBAITO - S/N,ZONA RURAL,29,Bahia
42,-12.698,-38.324,290570,2387840,UBS NOVA ALIANCA,RUA ACUPE,PHOC II,Camaçari,7136210343,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,BA,Camaçari,USF NOVA ALIANCA,RUA ACUPE - S/N,PHOC II,29,Bahia
43,-9.741,-36.503,270420,2007347,POSTO DE SAUDE TIPI,SITIO TIPI,ZONA RURAL,Limoeiro de Anadia,(82)5231181,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Limoeiro de Anadia,UNIDADE DE SAUDE DA FAMILIA TIPI,SITIO TIPI - S/N,ZONA RURAL,27,Alagoas
44,-9.83,-36.738,270410,6906079,POSTO DE SAUDE DE FOLHA MIUDA DE BAIXO,POV FOLHA MIUDA DE BAIXO,ZONA RURAL,Lagoa da Canoa,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,Lagoa da Canoa,POSTO DE SAUDE DE FOLHA MIUDA DE BAIXO,POV FOLHA MIUDA DE BAIXO - S/N,ZONA RURAL,27,Alagoas
45,-10.004,-36.024,270375,2721635,USF SINIMBU II,RUA ANTENOR NUNES,LAGOA AZEDA,Jequiá da Praia,32483086,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Jequiá da Praia,USF SINIMBU II,USINA SINIMBU - S/N,ZONA RURAL,27,Alagoas
46,-9.884,-36.829,270290,6170625,UNIDADE DE SAUDE DA FAMILIA QUEBRADENTE,POVOADO QUEBRADENTE,ZONA RURAL,Girau do Ponciano,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Girau do Ponciano,UNIDADE DE SAUDE DA FAMILIA QUEBRADENTE,POVOADO QUEBRADENTE - S/N,ZONA RURAL,27,Alagoas
47,-9.741,-36.503,270420,2007290,POSTO DE SAUDE OLHO DAGUA L CARLOS,SITIO OLHO DAGUA L CARLOS,ZONA RURAL,Limoeiro de Anadia,(82)5231184,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Limoeiro de Anadia,POSTO DE SAUDE OLHO DAGUA L CARLOS,SITIO OLHO DAGUA L CARLOS - S/N,ZONA RURAL,27,Alagoas
48,-10.058,-36.817,270590,2720949,POSTO DE SAUDE OLHO DAGUA PEQUENO,POVOADO OLHO DAGUA PEQUENO,ZONA RURAL,Olho d'Água Grande,(82)5350113,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,Olho d'Água Grande,POSTO DE SAUDE OLHO DAGUA PEQUENO,POVOADO OLHO DAGUA PEQUENO - S/N,ZONA RURAL,27,Alagoas
49,-9.884,-36.829,270290,2720760,UNIDADE DE SAUDE DA FAMILIA JACIOBA,SITIO JACIOBA,ZONA RURAL,Girau do Ponciano,(82)5201418,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,AL,Girau do Ponciano,UNIDADE DE SAUDE DA FAMILIA JACIOBA,SITIO JACIOBA - S/N,ZONA RURAL,27,Alagoas
50,-9.884,-36.829,270290,2721899,UNIDADE DE SAUDE DA FAMILIA CANAFISTULA CIPRIANO,POV CANAFISTULA DO CIPRIANO,ZONA RURAL,Girau do Ponciano,(82)5201418,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Girau do Ponciano,UNIDADE DE SAUDE DA FAMILIA CANAFISTULA CIPRIANO,POV CANAFISTULA DO CIPRIANO - S/N,ZONA RURAL,27,Alagoas
51,-9.666,-35.735,270430,6481132,UNIDADE DE SAUDE DR JOAO MACARIO DE OMENA FILHO,AV CORINTHO CAMPELO DA PAZ,SANTOS DUMONT,Maceió,33155474,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,Maceió,UNIDADE DE SAUDE DR JOAO MACARIO DE OMENA FILHO 7 DS,AV CORINTHO CAMPELO DA PAZ - S/N,SANTOS DUMONT,27,Alagoas
52,-9.83,-36.738,270410,6849245,POSTO DE SAUDE RIACHO FUNDO,SITIO RICHO FUNDO,ZONA RURAL,Lagoa da Canoa,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,Lagoa da Canoa,POSTO DE SAUDE RIACHO FUNDO,SITIO RICHO FUNDO - S/N,ZONA RURAL,27,Alagoas
53,-9.741,-36.503,270420,2007312,PACS CAMADANTA,POVOADO CAMADANTA,ZONA RURAL,Limoeiro de Anadia,(82)5231181,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Limoeiro de Anadia,UNIDADE DE SAUDE DA FAMILIA CAMADANTA,POVOADO CAMADANTA - S/N,ZONA RURAL,27,Alagoas
54,-9.934,-36.554,270880,4020553,UNIDADE SAUDE DA FAMILIA LAGOA SECA,POVOADO LAGOA SECA,ZONA RURAL,São Sebastião,(82)5421355,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,São Sebastião,UNIDADE SAUDE DA FAMILIA LAGOA SECA,POVOADO LAGOA SECA - S/N,ZONA RURAL,27,Alagoas
55,-9.383,-35.842,270520,6290809,UNIDADE BASICA DE SAUDE JOANA MATIAS DOS SANTOS,CONJ RESIDENCIAL JARBAS MAYA DE OMENA,CENTRO,Messias,8232621465,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,AL,Messias,UBS DR MILTON HENIO NETTO DE GOUVEA,CONJ RESIDENCIAL JARBAS MAYA DE OMENA - S/N,CENTRO,27,Alagoas
56,-10.186,-36.84,270750,2008823,ESF CANOA DE CIMA,POVOADO CANOA DE CIMA,ZONA RURAL,Porto Real do Colégio,35531131,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Porto Real do Colégio,ESF CANOA DE CIMA,POVOADO CANOA DE CIMA - S/N,ZONA RURAL,27,Alagoas
57,-9.884,-36.829,270290,6170633,UNIDADE DE SAUDE DA FAMILIA SETE CASAS,POVOADO SETE CASAS,ZONA RURAL,Girau do Ponciano,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,AL,Girau do Ponciano,UNIDADE DE SAUDE DA FAMILIA SETE CASAS,ASSENTAMENTO SETE CASAS - S/N,ZONA RURAL,27,Alagoas
